a,b,corr,n_return_pairs,window_start,window_end,calendar
BTC,BTC,1,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
BTC,ETH,0.899875117,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
BTC,NVDA,0.3412925805,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
BTC,AVGO,0.2899347298,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
BTC,MSFT,0.2970430611,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
BTC,META,0.1779350023,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
BTC,JPM,0.2366263537,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
BTC,XLF,0.3235748358,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
BTC,XOM,-0.03839806679,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
ETH,BTC,0.899875117,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
ETH,ETH,1,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
ETH,NVDA,0.3362879538,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
ETH,AVGO,0.3275336177,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
ETH,MSFT,0.2869088741,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
ETH,META,0.2091174825,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
ETH,JPM,0.1983110261,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
ETH,XLF,0.2944107584,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
ETH,XOM,-0.005159968694,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
NVDA,BTC,0.3412925805,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
NVDA,ETH,0.3362879538,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
NVDA,NVDA,1,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
NVDA,AVGO,0.5065371969,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
NVDA,MSFT,0.2550025504,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
NVDA,META,0.2949796853,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
NVDA,JPM,0.1736290203,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
NVDA,XLF,0.1106856475,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
NVDA,XOM,-0.1939948621,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
AVGO,BTC,0.2899347298,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
AVGO,ETH,0.3275336177,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
AVGO,NVDA,0.5065371969,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
AVGO,AVGO,1,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
AVGO,MSFT,0.1781169456,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
AVGO,META,0.1852718071,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
AVGO,JPM,0.1149207965,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
AVGO,XLF,0.01333118859,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
AVGO,XOM,-0.1721583724,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
MSFT,BTC,0.2970430611,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
MSFT,ETH,0.2869088741,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
MSFT,NVDA,0.2550025504,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
MSFT,AVGO,0.1781169456,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
MSFT,MSFT,1,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
MSFT,META,0.1776209049,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
MSFT,JPM,0.08302671857,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
MSFT,XLF,0.2492914886,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
MSFT,XOM,-0.1197697414,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
META,BTC,0.1779350023,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
META,ETH,0.2091174825,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
META,NVDA,0.2949796853,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
META,AVGO,0.1852718071,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
META,MSFT,0.1776209049,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
META,META,1,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
META,JPM,0.1907364847,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
META,XLF,0.2894061709,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
META,XOM,-0.1915824691,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
JPM,BTC,0.2366263537,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
JPM,ETH,0.1983110261,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
JPM,NVDA,0.1736290203,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
JPM,AVGO,0.1149207965,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
JPM,MSFT,0.08302671857,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
JPM,META,0.1907364847,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
JPM,JPM,1,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
JPM,XLF,0.7734841376,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
JPM,XOM,-0.06180502872,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XLF,BTC,0.3235748358,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XLF,ETH,0.2944107584,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XLF,NVDA,0.1106856475,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XLF,AVGO,0.01333118859,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XLF,MSFT,0.2492914886,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XLF,META,0.2894061709,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XLF,JPM,0.7734841376,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XLF,XLF,1,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XLF,XOM,-0.11133708,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XOM,BTC,-0.03839806679,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XOM,ETH,-0.005159968694,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XOM,NVDA,-0.1939948621,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XOM,AVGO,-0.1721583724,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
XOM,MSFT,-0.1197697414,273,2025-08-14,2026-09-15,us_session_inner_join_9_active_calls
