name,metric,n,unit,end,start,ann_factor,note
BTC,RV20,20,native_return_bars,2026-09-17,,365,dashboard default; start date not stored (native index not in pack CSVs)
BTC,RV60,60,native_return_bars,2026-09-17,,365,dashboard default; start date not stored
BTC,MDD,365,native_price_bars,2026-09-17,,365,dashboard default; start date not stored
BTC,ret_short,30,native_price_steps,2026-09-17,,365,bar count not calendar month; start date not stored
BTC,ret_long,90,native_price_steps,2026-09-17,,365,bar count not calendar quarter; start date not stored
BTC,YTD,,first_native_bar_ge_2026-01-01_to_asof,2026-09-17,,365,calendar-year post-selection descriptive only; start date not stored
ETH,RV20,20,native_return_bars,2026-09-17,,365,dashboard default; start date not stored
ETH,RV60,60,native_return_bars,2026-09-17,,365,dashboard default; start date not stored
ETH,MDD,365,native_price_bars,2026-09-17,,365,dashboard default; start date not stored
ETH,ret_short,30,native_price_steps,2026-09-17,,365,bar count not calendar month; start date not stored
ETH,ret_long,90,native_price_steps,2026-09-17,,365,bar count not calendar quarter; start date not stored
ETH,YTD,,first_native_bar_ge_2026-01-01_to_asof,2026-09-17,,365,calendar-year post-selection descriptive only; start date not stored
ETH,raw_vs_bench_NOT_alpha,30/90/YTD,simple_diff_name_minus_BTC,2026-09-17,,365,NOT alpha; not beta-adjusted; contemporaneous with BTC asof 2026-09-17
NVDA,RV20,20,native_return_bars,2026-09-16,,252,dashboard default; start date not stored
NVDA,RV60,60,native_return_bars,2026-09-16,,252,dashboard default; start date not stored
NVDA,MDD,252,native_price_bars,2026-09-16,,252,dashboard default; start date not stored
NVDA,ret_short,21,native_price_steps,2026-09-16,,252,bar count not calendar month; start date not stored
NVDA,ret_long,63,native_price_steps,2026-09-16,,252,bar count not calendar quarter; start date not stored
NVDA,YTD,,first_native_bar_ge_2026-01-01_to_asof,2026-09-16,,252,calendar-year post-selection descriptive only; start date not stored
NVDA,raw_vs_bench_NOT_alpha,21/63/YTD,simple_diff_name_minus_SPY,2026-09-16,,252,NOT alpha; not beta-adjusted
AVGO,RV20,20,native_return_bars,2026-09-16,,252,dashboard default; start date not stored
AVGO,RV60,60,native_return_bars,2026-09-16,,252,dashboard default; start date not stored
AVGO,MDD,252,native_price_bars,2026-09-16,,252,dashboard default; start date not stored
AVGO,ret_short,21,native_price_steps,2026-09-16,,252,bar count not calendar month; start date not stored
AVGO,ret_long,63,native_price_steps,2026-09-16,,252,bar count not calendar quarter; start date not stored
