name,source,last_close,asof,rv_20d,rv_60d,mdd_1y,ret_1m,ret_3m,ret_ytd,bench,rel_1m,rel_3m,rel_ytd,status,ann_factor,ret_short_bars,ret_long_bars,mdd_lookback_bars,rel_method,asof_note
BTC,yfinance:BTC-USD,76201.0234375,2026-09-17,0.35599284248410556,0.39056255076882296,-0.5305998300134691,0.1812966778112175,0.21153095268098365,-0.14122259324824216,,,,,ok,365,30,90,365,absolute_not_alpha,
ETH,yfinance:ETH-USD,2415.419921875,2026-09-17,0.41728544612323576,0.5893087491222554,-0.6661917809760185,0.2631613890030873,0.4129117659197781,-0.19496583090682662,BTC,0.08186471119186978,0.20138081323879442,-0.053743237658584464,ok,365,30,90,365,simple_diff_NOT_alpha,
NVDA,yfinance:NVDA,213.89999389648438,2026-09-16,0.45477396424199784,0.40383567256580905,-0.20214384555482312,-0.0483118782618035,0.03244461901264195,0.1352952452792171,SPY,-0.024213627353883105,0.02489785881770179,0.025677922022507405,ok,252,21,63,252,simple_diff_NOT_alpha,
AVGO,yfinance:AVGO,339.510009765625,2026-09-16,0.34511557758396194,0.4025310730418141,-0.29437686760349047,-0.13485203449746974,-0.09732324818631988,-0.019732214409985738,SPY,-0.11075378358954935,-0.10487000838126004,-0.12934953766669544,ok,252,21,63,252,simple_diff_NOT_alpha,
MSFT,yfinance:MSFT,490.29998779296875,2026-09-16,0.21323930774246952,0.42673341031365486,-0.3449839013222916,0.022635513216800796,0.24729703721973828,0.04328359178160479,SPY,0.04673376412472119,0.23975027702479812,-0.0663337314751049,ok,252,21,63,252,simple_diff_NOT_alpha,
META,yfinance:META,670.239990234375,2026-09-15,0.34165963272456157,0.4575799765156227,-0.32463365812905576,0.13628891748038252,0.12933883583570482,0.032326587569847076,SPY,0.16038716838830291,0.12179207564076466,-0.07729073568686262,ok,252,21,63,252,simple_diff_NOT_alpha,LAG_vs_equity_peers_asof_2026-09-15;_SPY_rel_not_contemporaneous
JPM,yfinance:JPM,348.9200134277344,2026-09-16,0.15858907004344025,0.18047040857993743,-0.154717373788531,-0.0333554363706875,0.058440124742030086,0.08723922958180985,SPY,-0.009257185462767104,0.050893364547089925,-0.022378093674899846,ok,252,21,63,252,simple_diff_NOT_alpha,
XLF,yfinance:XLF,55.93000030517578,2026-09-16,0.1374752550522538,0.13029164668792015,-0.14794754933580478,-0.028655808846970388,0.03267564421284663,0.02702403578725332,SPY,-0.004557557939049994,0.025128884017906472,-0.08259328746945638,ok,252,21,63,252,simple_diff_NOT_alpha,
XOM,yfinance:XOM,163.32000732421875,2026-09-16,0.26195217406126176,0.2566384853864221,-0.2011225721014881,0.011519884386278934,0.15873066565625127,0.35830652995622425,SPY,0.03561813529419933,0.1511839054613111,0.24868920669951455,ok,252,21,63,252,simple_diff_NOT_alpha,
UNI,kraken:UNIUSD,6.7085,2026-09-17,1.1631371584975634,0.9815441840119827,-0.7509102257359825,1.037942766875266,1.172723150667185,0.15843550336729395,BTC,0.8566460890640486,0.9611921979862013,0.2996580966155361,ok,365,30,90,365,simple_diff_NOT_alpha,shorter_kraken_history_starts_2024-09-27
AAVE,yfinance:AAVE-USD,120.01000213623047,2026-09-17,0.5779998349626164,0.904328208688943,-0.8030637332032214,0.34469000097197533,0.6058270366784084,-0.19288560049036585,BTC,0.16339332316075783,0.3942960839974248,-0.05166300724212369,ok,365,30,90,365,simple_diff_NOT_alpha,
SMH,yfinance:SMH,545.5599975585938,2026-09-16,0.32001844366821314,0.4527254418045932,-0.2462064829884717,-0.08165705921448796,-0.1143506533139712,0.46145195659947347,SPY,-0.057558808306567566,-0.12189741350891137,0.35183463334276377,ok,252,21,63,252,simple_diff_NOT_alpha,watch_YTD_not_promotion
