date,ticker,close,price_field,source,unix_ts
2024-07-09,SPY,542.9660034,adjclose,yahoo.finance.chart,1720531800
2024-07-10,SPY,548.3389893,adjclose,yahoo.finance.chart,1720618200
2024-07-11,SPY,543.6108398,adjclose,yahoo.finance.chart,1720704600
2024-07-12,SPY,547.0397339,adjclose,yahoo.finance.chart,1720791000
2024-07-15,SPY,548.5440674,adjclose,yahoo.finance.chart,1721050200
2024-07-16,SPY,551.7969971,adjclose,yahoo.finance.chart,1721136600
2024-07-17,SPY,544.0601807,adjclose,yahoo.finance.chart,1721223000
2024-07-18,SPY,539.8792725,adjclose,yahoo.finance.chart,1721309400
2024-07-19,SPY,536.2941284,adjclose,yahoo.finance.chart,1721395800
2024-07-22,SPY,541.8233032,adjclose,yahoo.finance.chart,1721655000
2024-07-23,SPY,540.9734497,adjclose,yahoo.finance.chart,1721741400
2024-07-24,SPY,528.713562,adjclose,yahoo.finance.chart,1721827800
2024-07-25,SPY,525.9587402,adjclose,yahoo.finance.chart,1721914200
2024-07-26,SPY,531.8493042,adjclose,yahoo.finance.chart,1722000600
2024-07-29,SPY,532.1619263,adjclose,yahoo.finance.chart,1722259800
2024-07-30,SPY,529.4657593,adjclose,yahoo.finance.chart,1722346200
2024-07-31,SPY,538.0719604,adjclose,yahoo.finance.chart,1722432600
2024-08-01,SPY,530.4523315,adjclose,yahoo.finance.chart,1722519000
2024-08-02,SPY,520.5762939,adjclose,yahoo.finance.chart,1722605400
2024-08-05,SPY,505.4151611,adjclose,yahoo.finance.chart,1722864600
2024-08-06,SPY,510.0747986,adjclose,yahoo.finance.chart,1722951000
2024-08-07,SPY,506.6654663,adjclose,yahoo.finance.chart,1723037400
2024-08-08,SPY,518.3781738,adjclose,yahoo.finance.chart,1723123800
2024-08-09,SPY,520.6640625,adjclose,yahoo.finance.chart,1723210200
2024-08-12,SPY,520.9376831,adjclose,yahoo.finance.chart,1723469400
2024-08-13,SPY,529.5047607,adjclose,yahoo.finance.chart,1723555800
2024-08-14,SPY,531.175293,adjclose,yahoo.finance.chart,1723642200
2024-08-15,SPY,540.2796631,adjclose,yahoo.finance.chart,1723728600
2024-08-16,SPY,541.4910889,adjclose,yahoo.finance.chart,1723815000
2024-08-19,SPY,546.6685181,adjclose,yahoo.finance.chart,1724074200
2024-08-20,SPY,545.779541,adjclose,yahoo.finance.chart,1724160600
2024-08-21,SPY,547.6550903,adjclose,yahoo.finance.chart,1724247000
2024-08-22,SPY,543.3568726,adjclose,yahoo.finance.chart,1724333400
2024-08-23,SPY,549.130188,adjclose,yahoo.finance.chart,1724419800
2024-08-26,SPY,547.821228,adjclose,yahoo.finance.chart,1724679000
2024-08-27,SPY,548.5733643,adjclose,yahoo.finance.chart,1724765400
2024-08-28,SPY,545.3887939,adjclose,yahoo.finance.chart,1724851800
2024-08-29,SPY,545.437561,adjclose,yahoo.finance.chart,1724938200
2024-08-30,SPY,550.6443481,adjclose,yahoo.finance.chart,1725024600
2024-09-03,SPY,539.3126831,adjclose,yahoo.finance.chart,1725370200
2024-09-04,SPY,538.2087402,adjclose,yahoo.finance.chart,1725456600
2024-09-05,SPY,536.8997192,adjclose,yahoo.finance.chart,1725543000
2024-09-06,SPY,527.8637085,adjclose,yahoo.finance.chart,1725629400
2024-09-09,SPY,533.7736816,adjclose,yahoo.finance.chart,1725888600
2024-09-10,SPY,536.0987549,adjclose,yahoo.finance.chart,1725975000
2024-09-11,SPY,541.5985107,adjclose,yahoo.finance.chart,1726061400
2024-09-12,SPY,546.1605225,adjclose,yahoo.finance.chart,1726147800
2024-09-13,SPY,549.0128784,adjclose,yahoo.finance.chart,1726234200
2024-09-16,SPY,549.8237915,adjclose,yahoo.finance.chart,1726493400
2024-09-17,SPY,550.0484619,adjclose,yahoo.finance.chart,1726579800
2024-09-18,SPY,548.4171753,adjclose,yahoo.finance.chart,1726666200
2024-09-19,SPY,557.7755127,adjclose,yahoo.finance.chart,1726752600
2024-09-20,SPY,556.8112793,adjclose,yahoo.finance.chart,1726839000
2024-09-23,SPY,558.2027588,adjclose,yahoo.finance.chart,1727098200
2024-09-24,SPY,559.7999878,adjclose,yahoo.finance.chart,1727184600
2024-09-25,SPY,558.5653687,adjclose,yahoo.finance.chart,1727271000
2024-09-26,SPY,560.7797852,adjclose,yahoo.finance.chart,1727357400
2024-09-27,SPY,559.9665527,adjclose,yahoo.finance.chart,1727443800
2024-09-30,SPY,562.2103882,adjclose,yahoo.finance.chart,1727703000
2024-10-01,SPY,557.1738892,adjclose,yahoo.finance.chart,1727789400
2024-10-02,SPY,557.4090576,adjclose,yahoo.finance.chart,1727875800
2024-10-03,SPY,556.3899536,adjclose,yahoo.finance.chart,1727962200
2024-10-04,SPY,561.446106,adjclose,yahoo.finance.chart,1728048600
2024-10-07,SPY,556.3703613,adjclose,yahoo.finance.chart,1728307800
2024-10-08,SPY,561.6323242,adjclose,yahoo.finance.chart,1728394200
2024-10-09,SPY,565.5224609,adjclose,yahoo.finance.chart,1728480600
2024-10-10,SPY,564.5326538,adjclose,yahoo.finance.chart,1728567000
2024-10-11,SPY,567.9133301,adjclose,yahoo.finance.chart,1728653400
2024-10-14,SPY,572.5579224,adjclose,yahoo.finance.chart,1728912600
2024-10-15,SPY,568.109314,adjclose,yahoo.finance.chart,1728999000
2024-10-16,SPY,570.5785522,adjclose,yahoo.finance.chart,1729085400
2024-10-17,SPY,570.6274414,adjclose,yahoo.finance.chart,1729171800
2024-10-18,SPY,572.8225098,adjclose,yahoo.finance.chart,1729258200
2024-10-21,SPY,571.8817139,adjclose,yahoo.finance.chart,1729517400
2024-10-22,SPY,571.5780029,adjclose,yahoo.finance.chart,1729603800
2024-10-23,SPY,566.3552246,adjclose,yahoo.finance.chart,1729690200
2024-10-24,SPY,567.5801392,adjclose,yahoo.finance.chart,1729776600
2024-10-25,SPY,567.3840942,adjclose,yahoo.finance.chart,1729863000
2024-10-28,SPY,569.1381226,adjclose,yahoo.finance.chart,1730122200
2024-10-29,SPY,570.0592041,adjclose,yahoo.finance.chart,1730208600
2024-10-30,SPY,568.3345947,adjclose,yahoo.finance.chart,1730295000
2024-10-31,SPY,557.1934814,adjclose,yahoo.finance.chart,1730381400
2024-11-01,SPY,559.545166,adjclose,yahoo.finance.chart,1730467800
2024-11-04,SPY,558.3399048,adjclose,yahoo.finance.chart,1730730600
2024-11-05,SPY,565.0912476,adjclose,yahoo.finance.chart,1730817000
2024-11-06,SPY,579.1425781,adjclose,yahoo.finance.chart,1730903400
2024-11-07,SPY,583.6206055,adjclose,yahoo.finance.chart,1730989800
2024-11-08,SPY,586.1486206,adjclose,yahoo.finance.chart,1731076200
2024-11-11,SPY,586.7071533,adjclose,yahoo.finance.chart,1731335400
2024-11-12,SPY,584.8846436,adjclose,yahoo.finance.chart,1731421800
2024-11-13,SPY,585.1687622,adjclose,yahoo.finance.chart,1731508200
2024-11-14,SPY,581.4060669,adjclose,yahoo.finance.chart,1731594600
2024-11-15,SPY,573.9591064,adjclose,yahoo.finance.chart,1731681000
2024-11-18,SPY,576.310791,adjclose,yahoo.finance.chart,1731940200
2024-11-19,SPY,578.4174805,adjclose,yahoo.finance.chart,1732026600
2024-11-20,SPY,578.6134644,adjclose,yahoo.finance.chart,1732113000
2024-11-21,SPY,581.7196655,adjclose,yahoo.finance.chart,1732199400
2024-11-22,SPY,583.522644,adjclose,yahoo.finance.chart,1732285800
2024-11-25,SPY,585.5020142,adjclose,yahoo.finance.chart,1732545000
2024-11-26,SPY,588.5591431,adjclose,yahoo.finance.chart,1732631400
2024-11-27,SPY,586.7758179,adjclose,yahoo.finance.chart,1732717800
2024-11-29,SPY,590.4209595,adjclose,yahoo.finance.chart,1732890600
2024-12-02,SPY,591.479126,adjclose,yahoo.finance.chart,1733149800
2024-12-03,SPY,591.753479,adjclose,yahoo.finance.chart,1733236200
2024-12-04,SPY,595.4279785,adjclose,yahoo.finance.chart,1733322600
2024-12-05,SPY,594.4480591,adjclose,yahoo.finance.chart,1733409000
2024-12-06,SPY,595.5750122,adjclose,yahoo.finance.chart,1733495400
2024-12-09,SPY,592.5079346,adjclose,yahoo.finance.chart,1733754600
2024-12-10,SPY,590.6658936,adjclose,yahoo.finance.chart,1733841000
2024-12-11,SPY,595.2320557,adjclose,yahoo.finance.chart,1733927400
2024-12-12,SPY,592.1651001,adjclose,yahoo.finance.chart,1734013800
2024-12-13,SPY,592.0474243,adjclose,yahoo.finance.chart,1734100200
2024-12-16,SPY,594.5755005,adjclose,yahoo.finance.chart,1734359400
2024-12-17,SPY,592.1259155,adjclose,yahoo.finance.chart,1734445800
2024-12-18,SPY,574.4784546,adjclose,yahoo.finance.chart,1734532200
2024-12-19,SPY,574.302063,adjclose,yahoo.finance.chart,1734618600
2024-12-20,SPY,581.1999512,adjclose,yahoo.finance.chart,1734705000
2024-12-23,SPY,584.6804199,adjclose,yahoo.finance.chart,1734964200
2024-12-24,SPY,591.1790771,adjclose,yahoo.finance.chart,1735050600
2024-12-26,SPY,591.2183838,adjclose,yahoo.finance.chart,1735223400
2024-12-27,SPY,584.9949341,adjclose,yahoo.finance.chart,1735309800
2024-12-30,SPY,578.3192749,adjclose,yahoo.finance.chart,1735569000
2024-12-31,SPY,576.215332,adjclose,yahoo.finance.chart,1735655400
2025-01-02,SPY,574.7994995,adjclose,yahoo.finance.chart,1735828200
2025-01-03,SPY,581.9864502,adjclose,yahoo.finance.chart,1735914600
2025-01-06,SPY,585.3391113,adjclose,yahoo.finance.chart,1736173800
2025-01-07,SPY,578.7224121,adjclose,yahoo.finance.chart,1736260200
2025-01-08,SPY,579.5679321,adjclose,yahoo.finance.chart,1736346600
2025-01-10,SPY,570.7193604,adjclose,yahoo.finance.chart,1736519400
2025-01-13,SPY,571.604248,adjclose,yahoo.finance.chart,1736778600
2025-01-14,SPY,572.3908081,adjclose,yahoo.finance.chart,1736865000
2025-01-15,SPY,582.8025513,adjclose,yahoo.finance.chart,1736951400
2025-01-16,SPY,581.6817017,adjclose,yahoo.finance.chart,1737037800
2025-01-17,SPY,587.5217896,adjclose,yahoo.finance.chart,1737124200
2025-01-21,SPY,592.8995361,adjclose,yahoo.finance.chart,1737469800
2025-01-22,SPY,596.232605,adjclose,yahoo.finance.chart,1737556200
2025-01-23,SPY,599.4868164,adjclose,yahoo.finance.chart,1737642600
2025-01-24,SPY,597.7368164,adjclose,yahoo.finance.chart,1737729000
2025-01-27,SPY,589.2816162,adjclose,yahoo.finance.chart,1737988200
2025-01-28,SPY,594.3449097,adjclose,yahoo.finance.chart,1738074600
2025-01-29,SPY,591.680542,adjclose,yahoo.finance.chart,1738161000
2025-01-30,SPY,594.8561401,adjclose,yahoo.finance.chart,1738247400
2025-01-31,SPY,591.6903076,adjclose,yahoo.finance.chart,1738333800
2025-02-03,SPY,587.7084961,adjclose,yahoo.finance.chart,1738593000
2025-02-04,SPY,591.651001,adjclose,yahoo.finance.chart,1738679400
2025-02-05,SPY,594.0499878,adjclose,yahoo.finance.chart,1738765800
2025-02-06,SPY,596.114624,adjclose,yahoo.finance.chart,1738852200
2025-02-07,SPY,590.6580811,adjclose,yahoo.finance.chart,1738938600
2025-02-10,SPY,594.6693115,adjclose,yahoo.finance.chart,1739197800
2025-02-11,SPY,595.1216431,adjclose,yahoo.finance.chart,1739284200
2025-02-12,SPY,593.2044067,adjclose,yahoo.finance.chart,1739370600
2025-02-13,SPY,599.4671631,adjclose,yahoo.finance.chart,1739457000
2025-02-14,SPY,599.4377441,adjclose,yahoo.finance.chart,1739543400
2025-02-18,SPY,601.1975708,adjclose,yahoo.finance.chart,1739889000
2025-02-19,SPY,602.6133423,adjclose,yahoo.finance.chart,1739975400
2025-02-20,SPY,600.1062622,adjclose,yahoo.finance.chart,1740061800
2025-02-21,SPY,589.842041,adjclose,yahoo.finance.chart,1740148200
2025-02-24,SPY,587.1578979,adjclose,yahoo.finance.chart,1740407400
2025-02-25,SPY,584.237915,adjclose,yahoo.finance.chart,1740493800
2025-02-26,SPY,584.5327759,adjclose,yahoo.finance.chart,1740580200
2025-02-27,SPY,575.2025757,adjclose,yahoo.finance.chart,1740666600
2025-02-28,SPY,584.1789551,adjclose,yahoo.finance.chart,1740753000
2025-03-03,SPY,573.9442139,adjclose,yahoo.finance.chart,1741012200
2025-03-04,SPY,567.1504517,adjclose,yahoo.finance.chart,1741098600
2025-03-05,SPY,573.2460327,adjclose,yahoo.finance.chart,1741185000
2025-03-06,SPY,563.0703125,adjclose,yahoo.finance.chart,1741271400
2025-03-07,SPY,566.2261963,adjclose,yahoo.finance.chart,1741357800
2025-03-10,SPY,551.1445312,adjclose,yahoo.finance.chart,1741613400
2025-03-11,SPY,546.5629272,adjclose,yahoo.finance.chart,1741699800
2025-03-12,SPY,549.4632568,adjclose,yahoo.finance.chart,1741786200
2025-03-13,SPY,542.1386719,adjclose,yahoo.finance.chart,1741872600
2025-03-14,SPY,553.3369751,adjclose,yahoo.finance.chart,1741959000
2025-03-17,SPY,557.6038818,adjclose,yahoo.finance.chart,1742218200
2025-03-18,SPY,551.5770874,adjclose,yahoo.finance.chart,1742304600
2025-03-19,SPY,557.5842285,adjclose,yahoo.finance.chart,1742391000
2025-03-20,SPY,555.9718628,adjclose,yahoo.finance.chart,1742477400
2025-03-21,SPY,556.1552124,adjclose,yahoo.finance.chart,1742563800
2025-03-24,SPY,566.1151733,adjclose,yahoo.finance.chart,1742823000
2025-03-25,SPY,567.4760742,adjclose,yahoo.finance.chart,1742909400
2025-03-26,SPY,560.7012939,adjclose,yahoo.finance.chart,1742995800
2025-03-27,SPY,559.2122192,adjclose,yahoo.finance.chart,1743082200
2025-03-28,SPY,547.9506836,adjclose,yahoo.finance.chart,1743168600
2025-03-31,SPY,551.6289062,adjclose,yahoo.finance.chart,1743427800
2025-04-01,SPY,553.1870117,adjclose,yahoo.finance.chart,1743514200
2025-04-02,SPY,556.6877441,adjclose,yahoo.finance.chart,1743600600
2025-04-03,SPY,529.2537231,adjclose,yahoo.finance.chart,1743687000
2025-04-04,SPY,498.2697144,adjclose,yahoo.finance.chart,1743773400
2025-04-07,SPY,497.3822021,adjclose,yahoo.finance.chart,1744032600
2025-04-08,SPY,489.5917969,adjclose,yahoo.finance.chart,1744119000
2025-04-09,SPY,541.0084229,adjclose,yahoo.finance.chart,1744205400
2025-04-10,SPY,517.3019409,adjclose,yahoo.finance.chart,1744291800
2025-04-11,SPY,526.5320435,adjclose,yahoo.finance.chart,1744378200
2025-04-14,SPY,531.6401978,adjclose,yahoo.finance.chart,1744637400
2025-04-15,SPY,530.151123,adjclose,yahoo.finance.chart,1744723800
2025-04-16,SPY,518.3669434,adjclose,yahoo.finance.chart,1744810200
2025-04-17,SPY,519.1065063,adjclose,yahoo.finance.chart,1744896600
2025-04-21,SPY,506.7503967,adjclose,yahoo.finance.chart,1745242200
2025-04-22,SPY,519.9348755,adjclose,yahoo.finance.chart,1745328600
2025-04-23,SPY,527.9914551,adjclose,yahoo.finance.chart,1745415000
2025-04-24,SPY,539.1051636,adjclose,yahoo.finance.chart,1745501400
2025-04-25,SPY,543.0003662,adjclose,yahoo.finance.chart,1745587800
2025-04-28,SPY,543.2073975,adjclose,yahoo.finance.chart,1745847000
2025-04-29,SPY,546.6293335,adjclose,yahoo.finance.chart,1745933400
2025-04-30,SPY,546.8462524,adjclose,yahoo.finance.chart,1746019800
2025-05-01,SPY,550.7216187,adjclose,yahoo.finance.chart,1746106200
2025-05-02,SPY,558.8967285,adjclose,yahoo.finance.chart,1746192600
2025-05-05,SPY,555.6917725,adjclose,yahoo.finance.chart,1746451800
2025-05-06,SPY,551.0471191,adjclose,yahoo.finance.chart,1746538200
2025-05-07,SPY,553.364563,adjclose,yahoo.finance.chart,1746624600
2025-05-08,SPY,557.2202759,adjclose,yahoo.finance.chart,1746711000
2025-05-09,SPY,556.5103149,adjclose,yahoo.finance.chart,1746797400
2025-05-12,SPY,574.9015503,adjclose,yahoo.finance.chart,1747056600
2025-05-13,SPY,578.6981201,adjclose,yahoo.finance.chart,1747143000
2025-05-14,SPY,579.4377441,adjclose,yahoo.finance.chart,1747229400
2025-05-15,SPY,582.2678223,adjclose,yahoo.finance.chart,1747315800
2025-05-16,SPY,585.9559937,adjclose,yahoo.finance.chart,1747402200
2025-05-19,SPY,586.5969238,adjclose,yahoo.finance.chart,1747661400
2025-05-20,SPY,584.6246948,adjclose,yahoo.finance.chart,1747747800
2025-05-21,SPY,574.7732544,adjclose,yahoo.finance.chart,1747834200
