name,rv_20d_ann,rv_60d_ann,ann_factor,mdd_1y
BTC,0.35599284248410556,0.39056255076882296,365.0,-0.5305998300134691
ETH,0.41728544612323576,0.5893087491222554,365.0,-0.6661917809760185
NVDA,0.45477396424199784,0.40383567256580905,252.0,-0.20214384555482312
AVGO,0.34511557758396194,0.4025310730418141,252.0,-0.29437686760349047
MSFT,0.21323930774246952,0.42673341031365486,252.0,-0.3449839013222916
META,0.34165963272456157,0.4575799765156227,252.0,-0.32463365812905576
JPM,0.15858907004344025,0.18047040857993743,252.0,-0.154717373788531
XLF,0.1374752550522538,0.13029164668792015,252.0,-0.14794754933580478
XOM,0.26195217406126176,0.2566384853864221,252.0,-0.2011225721014881
UNI,1.1631371584975634,0.9815441840119827,365.0,-0.7509102257359825
AAVE,0.5779998349626164,0.904328208688943,365.0,-0.8030637332032214
SMH,0.32001844366821314,0.4527254418045932,252.0,-0.2462064829884717
