symbol,list_id,list_title,list_url,position,scraped_at_aest,scraped_at_utc
ASTERUSDT.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,1,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
DOGEUSDT,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,2,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
NEARUSDT.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,3,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
UNIUSDT.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,4,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
XMRUSDT.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,5,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
HYPEUSDT.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,6,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
SOLUSDT.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,7,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
ETHUSDT.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,8,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
LITUSDT.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,9,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
ZECUSDT.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,10,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
XRPUSD,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,11,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
SPXUSDT.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,12,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
XLMUSDT,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,13,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
BNBUSD,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,14,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
SPX,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,15,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
NQ1!,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,16,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
QQQ,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,17,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
CL1!,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,18,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
CRCL,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,19,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
TSLA,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,20,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
SPCX,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,21,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
NVDA,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,22,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
SAMSUNGUSDT.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,23,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
BB,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,24,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
GLXY,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,25,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
IBIT,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,26,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
BMNR,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,27,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
PURR,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,28,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
MRNA,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,29,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
BTC1!,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,30,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
KOSDAQ,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,31,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
GOOG,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,32,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
HOOD,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,33,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
NOW,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,34,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
CBRS,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,35,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
MSTR,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,36,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
STRC,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,37,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
AMD,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,38,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
USDT.D,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,39,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
BTC.D,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,40,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
BTC/GOLD,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,41,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
BTC/SLV,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,42,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
GOLD/BTC,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,43,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
HYPE/BNB,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,44,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
HYPE/HOOD,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,45,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
LIT/HYPE,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,46,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
ETHBTC,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,47,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
GOLD,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,48,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
SILVER,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,49,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
COPPER1!,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,50,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
UXJ2026,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,51,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
NG1!,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,52,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
DXY,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,53,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
TOTAL,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,54,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
OTHERSBTC,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,55,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
TOTAL2,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,56,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
STABLE.C,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,57,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
TOTAL3,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,58,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
NEARUSDC.P,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,59,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
TNX,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,60,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
IWM,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,61,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
VIX,194324969,Base List,https://www.tradingview.com/watchlists/194324969/,62,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
IBIT,343370615,Racksor Capital,https://www.tradingview.com/watchlists/343370615/,1,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
PURR,343370615,Racksor Capital,https://www.tradingview.com/watchlists/343370615/,2,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
SNDK,343370615,Racksor Capital,https://www.tradingview.com/watchlists/343370615/,3,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
MU,343370615,Racksor Capital,https://www.tradingview.com/watchlists/343370615/,4,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
SKHYNIXUSDC.P,343370615,Racksor Capital,https://www.tradingview.com/watchlists/343370615/,5,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
RBLX,343370615,Racksor Capital,https://www.tradingview.com/watchlists/343370615/,6,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
BTCUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,1,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
ETHUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,2,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
SOLUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,3,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
HYPEUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,4,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
VVVUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,5,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
ZECUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,6,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
XMRUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,7,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
NEARUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,8,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
LITUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,9,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
CASHCATUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,10,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
PONSUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,11,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
XRPUSDC.P,330128831,Crypto,https://www.tradingview.com/watchlists/330128831/,12,2026-09-17 12:27:33 AEST,2026-09-17T02:27:33Z
